0.003,0.004,0.003,0.004,0.004,0.005,0.007,0.008,0.01,0.013,0.018,0.025,0.037,0.048,0.06,0.066
0.003,0.005,0.004,0.004,0.004,0.005,0.007,0.008,0.011,0.015,0.02,0.029,0.042,0.056,0.075,0.092
0.003,0.003,0.003,0.004,0.004,0.006,0.007,0.009,0.012,0.016,0.022,0.034,0.046,0.067,0.094,0.103
0.004,0.004,0.004,0.004,0.004,0.006,0.007,0.009,0.012,0.016,0.023,0.034,0.044,0.068,0.089,0.123
0.005,0.005,0.006,0.004,0.004,0.006,0.007,0.01,0.013,0.017,0.025,0.033,0.048,0.068,0.126,0.158
0.004,0.005,0.007,0.004,0.004,0.006,0.008,0.009,0.013,0.017,0.025,0.033,0.052,0.089,0.171,0.413
0.004,0.005,0.007,0.005,0.005,0.005,0.008,0.01,0.012,0.019,0.025,0.035,0.042,0.116,0.176,0.371
0.005,0.006,0.007,0.005,0.005,0.006,0.008,0.009,0.014,0.018,0.024,0.037,0.046,0.077,0.124,0.158
0.004,0.005,0.005,0.004,0.004,0.006,0.008,0.009,0.013,0.017,0.024,0.036,0.047,0.065,0.096,0.126
0.003,0.004,0.004,0.004,0.005,0.006,0.008,0.01,0.013,0.016,0.024,0.036,0.049,0.068,0.096,0.136
0.003,0.003,0.004,0.004,0.005,0.006,0.008,0.01,0.012,0.015,0.022,0.031,0.044,0.06,0.077,0.094
0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.011,0.014,0.019,0.026,0.039,0.051,0.063,0.068
